sample,spearman,jaccard,nonzero_picrust,nonzero_shotgun,n_kos_compared
BulkRAG1,0.772066548164377,0.7356057116536159,2044,1724,2388
BulkRAG2,0.7845714324275606,0.7631344612644702,2164,1796,2388
BulkRAG3,0.7945746670792154,0.7864864864864864,2097,1869,2388
BulkTP1,0.77146885451553,0.7869822485207101,1954,1972,2388
BulkTP2,0.7951967825620078,0.8262767350501964,2165,2019,2388
BulkTP3,0.7955500141907565,0.7957276368491322,2094,1941,2388
RAG1,0.8000142151022867,0.8016230838593328,2074,1922,2388
RAG10,0.7567787959497709,0.7464589235127479,1814,1885,2388
RAG12,0.7906726486085475,0.7753789618741387,2054,1811,2388
RAG2,0.8030021397898746,0.8052863436123348,2182,1916,2388
RAG3,0.7981385775975173,0.8070409982174688,2098,1957,2388
RAG4,0.7806848978046096,0.7966256269949841,1990,1950,2388
RAG5,0.7922517614010031,0.7804307116104869,1993,1810,2388
RAG6,0.7883878103202853,0.8020786262991414,2061,1927,2388
RAG7,0.7867865721121571,0.8068747173224785,2056,1939,2388
RAG8,0.7920179176004414,0.783894449499545,2050,1871,2388
RTP1,0.7730823178095043,0.7588126159554731,2011,1781,2388
RTP10,0.7917593758365606,0.7786191536748329,2137,1856,2388
RTP11,0.7955972254217692,0.8025419881979119,2062,1909,2388
RTP12,0.7637632865102193,0.7491219267436026,1743,1743,2388
RTP2,0.7942659525247637,0.8136949755446865,2152,1927,2388
RTP3,0.7701068902549812,0.6994408201304753,2076,1571,2388
RTP4,0.7863716691995772,0.7935368043087971,2111,1885,2388
RTP5,0.7707005426624106,0.7955357142857142,2107,1915,2388
RTP6,0.7829793318540907,0.7187214611872146,2117,1647,2388
RTP7,0.7389147279366135,0.8047914818101154,2160,1908,2388
RTP9,0.7838677645732306,0.739248528746039,2135,1707,2388
