ERR,shotgun_id,group,spearman,jaccard,nonzero_picrust,nonzero_shotgun,common_kos,scatter_path
ERR1456791,BulkRAG2,Bulk,-0.24361974550242274,0.0,6712,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456791__BulkRAG2.png
ERR1456792,BulkRAG3,Bulk,-0.23920720994518346,0.0,6584,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456792__BulkRAG3.png
ERR1456793,BulkTP1,Bulk,-0.21677277153965127,0.0,5920,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456793__BulkTP1.png
ERR1456794,BulkTP2,Bulk,-0.24993672713676918,0.0,6894,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456794__BulkTP2.png
ERR1456795,BulkTP3,Bulk,-0.23917292338983265,0.0,6583,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456795__BulkTP3.png
ERR1456796,RAG1,RAG,-0.23513041704004375,0.0,6465,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456796__RAG1.png
ERR1456797,RAG10,RAG,-0.19614544148978375,0.0,5288,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456797__RAG10.png
ERR1456798,RAG12,RAG,-0.23260720080205394,0.0,6391,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456798__RAG12.png
ERR1456799,RAG2,RAG,-0.24545432877561388,0.0,6765,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456799__RAG2.png
ERR1456800,RAG3,RAG,-0.24261697846567282,0.0,6683,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456800__RAG3.png
ERR1456801,RAG4,RAG,-0.22013404836649575,0.0,6021,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456801__RAG4.png
ERR1456802,RAG5,RAG,-0.22153754710027135,0.0,6063,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456802__RAG5.png
ERR1456803,RAG6,RAG,-0.23530112734362268,0.0,6470,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456803__RAG6.png
ERR1456804,RAG7,RAG,-0.23162135266575065,0.0,6362,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456804__RAG7.png
ERR1456805,RAG8,RAG,-0.23172269783343993,0.0,6365,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456805__RAG8.png
ERR1456806,RTP1,RTP,-0.22217423802135053,0.0,6082,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456806__RTP1.png
ERR1456807,RTP10,RTP,-0.2406184252421585,0.0,6625,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456807__RTP10.png
ERR1456808,RTP11,RTP,-0.2272187026935155,0.0,6232,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456808__RTP11.png
ERR1456809,RTP12,RTP,-0.19160892639653967,0.0,5146,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456809__RTP12.png
ERR1456810,RTP2,RTP,-0.24493473508859825,0.0,6750,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456810__RTP2.png
ERR1456811,RTP3,RTP,-0.23023005649160264,0.0,6321,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456811__RTP3.png
ERR1456812,RTP4,RTP,-0.24158235752906732,0.0,6653,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456812__RTP4.png
ERR1456813,RTP5,RTP,-0.23424349363266583,0.0,6439,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456813__RTP5.png
ERR1456814,RTP6,RTP,-0.2451415954984,0.0,6756,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456814__RTP6.png
ERR1456815,RTP7,RTP,-0.24725856887397243,0.0,6817,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456815__RTP7.png
ERR1456816,RTP9,RTP,-0.2477089427598099,0.0,6830,248,0,/Users/farhadsadat/thesis-benchmark/analysis/results_colwise/figures_scatter/scatter_ERR1456816__RTP9.png
