run_accession	sample_alias
ERR1456796	RTP7
ERR1456797	RTP8
ERR1456798	RTP9
ERR1456799	RTP10
ERR1456809	BulkTP4
ERR1456811	RAG2
ERR1456817	RAG8
ERR1456818	RAG9
ERR1456829	BulkRAG4
ERR1456790	RTP1
ERR1456791	RTP2
ERR1456794	RTP5
ERR1456801	RTP12
ERR1456805	RTP16
ERR1456806	BulkTP1
ERR1456808	BulkTP3
ERR1456812	RAG3
ERR1456813	RAG4
ERR1456815	RAG6
ERR1456819	RAG10
ERR1456820	RAG11
ERR1456821	RAG12
ERR1456822	RAG13
ERR1456824	RAG15
ERR1456825	RAG16
ERR1456792	RTP3
ERR1456793	RTP4
ERR1456795	RTP6
ERR1456800	RTP11
ERR1456802	RTP13
ERR1456803	RTP14
ERR1456804	RTP15
ERR1456807	BulkTP2
ERR1456810	RAG1
ERR1456814	RAG5
ERR1456816	RAG7
ERR1456823	RAG14
ERR1456826	BulkRAG1
ERR1456827	BulkRAG2
ERR1456828	BulkRAG3
