sample,jaccard
RTP1,0.77520113582584
RTP2,0.814018691588785
RTP3,0.7231222385861561
RTP4,0.8010571840461317
RTP5,0.8098754037840332
RTP6,0.7348946135831381
RTP7,0.7981308411214953
RTP9,0.7617243012790147
RTP10,0.8
RTP11,0.7940229885057472
RTP12,0.7719214183037854
BulkTP1,0.8289719626168224
BulkTP2,0.8228310502283105
BulkTP3,0.7969187675070029
RAG1,0.8118064802485575
RAG2,0.8246550956831331
RAG3,0.827540695116586
RAG4,0.8295403837572513
RAG5,0.785131459655485
RAG6,0.8168819188191881
RAG7,0.8118591172536781
RAG8,0.7910090865614539
RAG10,0.8076233183856503
RAG12,0.7816200852676457
BulkRAG1,0.7521781219748306
BulkRAG2,0.7838086476540939
BulkRAG3,0.7863762743280815
