sample,shotgun,group,spearman,jaccard
ERR1456790,BulkRAG1,RAG,0.662809895111267,0.777723497801661
ERR1456791,BulkRAG2,RAG,0.663318222284661,0.800683927699072
ERR1456792,BulkRAG3,RAG,0.693510577268959,0.829420220412075
ERR1456793,BulkTP1,BULK,0.678649891090311,0.825427872860636
ERR1456794,BulkTP2,BULK,0.694172175464657,0.863356973995272
ERR1456795,BulkTP3,BULK,0.69406190767628,0.830938697318008
ERR1456796,RAG1,RAG,0.684006479449568,0.835106382978723
ERR1456797,RAG10,RAG,0.661963600983149,0.788194444444445
ERR1456798,RAG12,RAG,0.683344762619684,0.803666184273999
ERR1456799,RAG2,RAG,0.685134893546402,0.838214114258281
ERR1456800,RAG3,RAG,0.694757954581588,0.84472049689441
ERR1456801,RAG4,RAG,0.666253710805379,0.81870781099325
ERR1456802,RAG5,RAG,0.697117478262425,0.806702282661486
ERR1456803,RAG6,RAG,0.684816747429478,0.831888246628131
ERR1456804,RAG7,RAG,0.675680739829309,0.8375
ERR1456805,RAG8,RAG,0.671988951210804,0.81256038647343
ERR1456806,RTP1,RTP,0.681308392817379,0.788385826771654
ERR1456807,RTP10,RTP,0.691911504753329,0.814043583535109
ERR1456808,RTP11,RTP,0.69515301938218,0.829745596868884
ERR1456809,RTP12,RTP,0.672751905114683,0.767336683417085
ERR1456810,RTP2,RTP,0.715942524751181,0.835091083413231
ERR1456811,RTP3,RTP,0.696197555724564,0.721506442021804
ERR1456812,RTP4,RTP,0.717910018007629,0.82952380952381
ERR1456813,RTP5,RTP,0.713561422446636,0.836744639376218
ERR1456814,RTP6,RTP,0.694538186656811,0.754018509498295
ERR1456815,RTP7,RTP,0.647550593099684,0.826749167063303
ERR1456816,RTP9,RTP,0.70592401017193,0.771373679154659
