ERR,shotgun_id,spearman,jaccard
ERR1456790,BulkRAG1,0.673887079977726,0.769378911892152
ERR1456791,BulkRAG2,0.674093674389241,0.791926958193176
ERR1456792,BulkRAG3,0.702454878361566,0.820790216368768
ERR1456793,BulkTP1,0.687302382456299,0.817525276841599
ERR1456794,BulkTP2,0.704086061708112,0.853432282003711
ERR1456795,BulkTP3,0.703366910134276,0.820404325340856
ERR1456796,RAG1,0.693854070897787,0.825818699572852
ERR1456797,RAG10,0.670290268811479,0.78
ERR1456798,RAG12,0.693026607698351,0.796015180265655
ERR1456799,RAG2,0.695578401833476,0.829164700330345
ERR1456800,RAG3,0.704443380531211,0.835834896810507
ERR1456801,RAG4,0.675905114514912,0.811195445920304
ERR1456802,RAG5,0.705250832803672,0.796658711217184
ERR1456803,RAG6,0.694176620491841,0.820973075106283
ERR1456804,RAG7,0.686043146875925,0.829003306565895
ERR1456805,RAG8,0.682097306468043,0.803613884926296
ERR1456806,RTP1,0.690267697727513,0.780416868637906
ERR1456807,RTP10,0.700658296262655,0.805714285714286
ERR1456808,RTP11,0.704077730493271,0.822510822510823
ERR1456809,RTP12,0.681190130394998,0.760277365032194
ERR1456810,RTP2,0.724489549526043,0.824718045112782
ERR1456811,RTP3,0.703172099250073,0.712054660810151
ERR1456812,RTP4,0.725812766025346,0.818860877684407
ERR1456813,RTP5,0.722381806843927,0.82488038277512
ERR1456814,RTP6,0.703368762201566,0.743663318986131
ERR1456815,RTP7,0.658028521210047,0.818776272769734
ERR1456816,RTP9,0.713802928605541,0.759887005649718
